 ,area,diameter,out_layer_involvement
volume_58,2595,99,1.23957988575674
volume_59,870,58,0.562101034910645
volume_6,3179,97,3.46049430175281
volume_60,2513,87,4.1099402024386
volume_61,845,40,0
volume_62,3635,91,3.55287606641226
volume_63,524,38,0
volume_64,2866,86,4.73902184565774
volume_65,1267,47,1.25870935633709
volume_66,1689,55,0.931964133049685
volume_67,2835,84,3.39748180451609
volume_68,2186,63,0
volume_69,4403,129,0.531371346821991
volume_7,1501,68,1.14195308459175
volume_70,1234,50,1.56139347387917
volume_71,3533,100,3.35473423839436
volume_72,1982,72,3.08181892116662
volume_73,1724,55,0.626064114413582
volume_74,1868,92,0.834358004539713
volume_75,4161,95,1.43411705025179
volume_76,1247,56,0.935051073974605
volume_77,1884,75,2.59204423642288
volume_78,1818,94,0
volume_79,404,26,0.386912739797389
volume_8,1272,62,0.773719910565141
volume_80,1590,67,0.308954875860461
volume_81,1223,45,1.10368545574282
volume_82,633,37,0
volume_83,2276,71,0.638309136820977
volume_84,2263,77,2.49729471789149
volume_85,1032,53,0.854899666193454
volume_86,1026,69,2.39179254749114
volume_87,1228,55,2.28084830501078
volume_88,939,61,0.591972312738473
volume_89,4819,102,4.00235908301569
volume_9,4219,120,6.0834103553655
volume_90,1089,53,0
volume_91,4194,103,3.01572726185904
volume_92,1731,59,0.196210180532031
volume_93,2476,82,2.95956505296865
volume_94,1118,49,1.67261678323043
volume_95,3219,90,0.288775387520094
volume_96,1832,68,0
volume_97,2443,91,0.589883064828389
volume_98,3463,86,2.35140678252578
volume_99,799,50,0
